,hurst_100
2020-02-24,0.6272941229173697
2020-02-25,0.6223382288389582
2020-02-26,0.6503755691877723
2020-02-27,0.6548027912340084
2020-02-28,0.6349645098893735
2020-03-02,0.5668990159160827
2020-03-03,0.537619811343941
2020-03-04,0.48559928629962446
2020-03-05,0.5115034452097827
2020-03-06,0.4961839008397591
2020-03-09,0.5425440897982733
2020-03-11,0.6095828532599256
2020-03-12,0.6375847278304942
2020-03-13,0.6639787845435211
2020-03-16,0.6423523769895382
2020-03-17,0.6373319465873094
2020-03-18,0.6586279011131436
2020-03-19,0.6712595257571271
2020-03-20,0.704818003976055
2020-03-23,0.6625202936540453
2020-03-24,0.6374306544296225
2020-03-25,0.6190754337982494
2020-03-26,0.6349747933137548
2020-03-27,0.6089726615983972
2020-03-30,0.6054070607366315
2020-03-31,0.5966429491345802
2020-04-01,0.5708314640848212
2020-04-03,0.5318596442332351
2020-04-07,0.5427282246634689
2020-04-08,0.529270131097544
2020-04-09,0.5310843566190242
2020-04-13,0.5628637040701985
2020-04-15,0.5771643692718874
2020-04-16,0.57001579538707
2020-04-17,0.5906626917855872
2020-04-20,0.5816153924762434
2020-04-21,0.545351217134175
2020-04-22,0.507007635963198
2020-04-23,0.5083891397431749
2020-04-24,0.5153246662742154
2020-04-27,0.5257992111020544
2020-04-28,0.5441320869697583
2020-04-29,0.5722119767603698
2020-04-30,0.5470804045242199
2020-05-04,0.5393660433232854
2020-05-05,0.529821995340005
2020-05-06,0.5214575547163073
2020-05-07,0.4917541171475197
2020-05-08,0.5278806482783905
2020-05-11,0.5914728969014155
2020-05-12,0.62345893425084
2020-05-13,0.656752993267327
2020-05-14,0.6635788459119543
2020-05-15,0.6206008679103956
2020-05-18,0.6317882891871031
2020-05-19,0.6640227023841174
2020-05-20,0.6541490007025833
2020-05-21,0.6390336413679936
2020-05-22,0.6534652740728921
2020-05-26,0.66977596858148
2020-05-27,0.6844416966315626
2020-05-28,0.7272252349210315
2020-05-29,0.7454624077337536
2020-06-01,0.7037099157181074
2020-06-02,0.6793930209295709
2020-06-03,0.6478329783506069
2020-06-04,0.6192577934430946
2020-06-05,0.6029618112845129
2020-06-08,0.6344472215213814
2020-06-09,0.6285936234453638
2020-06-10,0.6110333628000884
2020-06-11,0.6340171862102193
2020-06-12,0.6642522512655974
2020-06-15,0.6280018763036666
2020-06-16,0.6152962308979422
2020-06-17,0.5807547359360534
2020-06-18,0.559817964028837
2020-06-19,0.5637990829462416
2020-06-22,0.5833259070144768
2020-06-23,0.5842215210636219
2020-06-24,0.5825442963940682
2020-06-25,0.6060704031721544
2020-06-26,0.6231778113592388
2020-06-29,0.5923260099841192
2020-06-30,0.57245091462119
2020-07-01,0.5554815091397275
2020-07-02,0.5404559412095058
2020-07-03,0.5414423742317728
2020-07-06,0.5453695902061291
2020-07-07,0.5473206108337634
2020-07-08,0.5408493661004011
2020-07-09,0.5516140363088753
2020-07-10,0.565777320423761
2020-07-13,0.5463845201654585
2020-07-14,0.5391649169589684
2020-07-15,0.5352356993964973
2020-07-16,0.5380392712830457
2020-07-17,0.5670942714942289
2020-07-20,0.5636173489702982
2020-07-21,0.5477365187640382
2020-07-22,0.5168076017019373
2020-07-23,0.5054786882956759
2020-07-24,0.517372861403154
2020-07-27,0.48869973939043526
2020-07-28,0.4601331104223924
2020-07-29,0.41102072899657055
2020-07-30,0.427557614438345
2020-07-31,0.4639042540759539
2020-08-03,0.46113721977296446
2020-08-04,0.45950586371506646
2020-08-05,0.4478080000874262
2020-08-06,0.47058585410958753
2020-08-07,0.490002815480496
2020-08-10,0.4948754166101371
2020-08-11,0.4723631324496851
2020-08-12,0.4654621440202617
2020-08-13,0.4826643450623981
2020-08-14,0.5362587589699671
2020-08-17,0.55428812602284
2020-08-18,0.5396116421441997
2020-08-19,0.6364984376882034
2020-08-20,0.5924679703301102
2020-08-21,0.5911567951920089
2020-08-24,0.5996247618657627
2020-08-25,0.5999862012137931
2020-08-26,0.5775408333397077
2020-08-27,0.6041740626140066
2020-08-28,0.6682880095461351
2020-08-31,0.6898617398621817
2020-09-01,0.6240270650774865
2020-09-02,0.6307818241757669
2020-09-03,0.6368451238803503
2020-09-04,0.6490876873529688
2020-09-07,0.656295251495692
2020-09-08,0.6326269922364175
2020-09-09,0.6098516141895618
2020-09-10,0.6123161988664302
2020-09-11,0.6662384411791565
2020-09-14,0.6411769195858299
2020-09-15,0.6335797472226476
2020-09-16,0.6455904950715146
2020-09-17,0.6411030221710567
2020-09-18,0.6750961967878429
2020-09-21,0.685589456800794
2020-09-22,0.732231044506285
2020-09-23,0.7655744530615988
2020-09-24,0.7731388683527082
2020-09-25,0.794343438671539
2020-09-28,0.7750635220266493
2020-09-29,0.7646202736518608
2020-09-30,0.7651893676030098
2020-10-01,0.7599930993347509
2020-10-05,0.7946863249264484
2020-10-06,0.8043223341442338
2020-10-07,0.7877323166361958
2020-10-08,0.758071178407469
2020-10-09,0.7502768207358111
2020-10-12,0.7121415748877209
2020-10-13,0.7087797309349391
2020-10-14,0.7345369160736915
2020-10-15,0.7298643578385658
2020-10-16,0.7499684727479371
2020-10-19,0.7418467124741326
2020-10-20,0.7387075087122805
2020-10-21,0.714502825984624
2020-10-22,0.6934925298106533
2020-10-23,0.6817325686325167
2020-10-26,0.6407386921041826
2020-10-27,0.6530014729397303
2020-10-28,0.681839578842418
2020-10-29,0.6717953688488274
2020-10-30,0.7036663196721511
2020-11-02,0.7226216728415149
2020-11-03,0.7117785661421488
2020-11-04,0.7133816222016528
2020-11-05,0.6683812848646792
2020-11-06,0.6891642566775196
2020-11-09,0.5990814772896635
2020-11-10,0.6068928139560252
2020-11-11,0.6089821069306367
2020-11-12,0.6127600173052098
2020-11-13,0.6600863190497719
2020-11-17,0.660683977890838
2020-11-18,0.6614399446193452
2020-11-19,0.6918518245959059
2020-11-20,0.7094620719266741
2020-11-23,0.6888697769255908
2020-11-24,0.6103974188633305
