,Target,Predicted,Sample,Open,Close,DVT_STD,Buy_and_Hold,Close_Portfolio,Signal,Position,Portfolio_Value
2014-04-15,1,0,Train,6792.7001953125,6733.10009765625,106.4833691930902,128.09946867485493,6733.10009765625,0,0.0,163.91979059620428
2014-04-16,1,1,Train,6727.25,6675.2998046875,100.70549310550652,126.99979887770976,6675.2998046875,1,1.0,163.91979059620428
2014-04-17,0,0,Train,6695.4501953125,6779.39990234375,98.0562221764936,128.98033785757846,6779.39990234375,0,0.0,166.47609019444468
2014-04-21,0,0,Train,6789.25,6817.64990234375,96.44781169104267,129.70805682889136,6817.64990234375,0,0.0,166.47609019444468
2014-04-22,0,0,Train,6822.89990234375,6815.35009765625,87.43369260866693,129.66430227983497,6815.35009765625,0,0.0,166.47609019444468
2014-04-23,-1,0,Train,6823.25,6840.7998046875,77.06513773911047,130.14849142025315,6840.7998046875,0,0.0,166.47609019444468
2014-04-25,0,0,Train,6855.7998046875,6782.75,70.80121654746577,129.0440745796753,6782.75,0,0.0,166.47609019444468
2014-04-28,0,0,Train,6778.5498046875,6761.25,62.53486736914946,128.63502992913342,6761.25,0,0.0,166.47609019444468
2014-04-29,0,1,Train,6769.0,6715.25,53.73631472552489,127.7598646302996,6715.25,1,1.0,166.47609019444468
2014-04-30,0,1,Train,6724.9501953125,6696.39990234375,49.33694268446277,127.40123525316093,6696.39990234375,1,1.0,166.00878211840939
2014-05-02,1,1,Train,6709.9501953125,6694.7998046875,49.40014548304506,127.37079286308494,6694.7998046875,1,1.0,165.96911449594683
2014-05-05,1,1,Train,6681.64990234375,6699.35009765625,49.64404244184044,127.45736370016706,6699.35009765625,1,1.0,166.0819196756016
2014-05-06,1,1,Train,6719.25,6715.2998046875,49.83054392681144,127.76081218104352,6715.2998046875,1,1.0,166.47732489004773
2014-05-07,1,1,Train,6708.60009765625,6652.5498046875,54.24365467286309,126.56697256143867,6652.5498046875,1,1.0,164.92170526908032
2014-05-08,1,1,Train,6669.89990234375,6659.85009765625,57.39281768498242,126.705863063125,6659.85009765625,1,1.0,165.1026850137974
2014-05-09,1,1,Train,6654.14990234375,6858.7998046875,62.114005627427225,130.49094740675332,6858.7998046875,1,1.0,170.03479764875408
2014-05-12,1,1,Train,6863.39990234375,7014.25,84.67794620396477,133.44843907271942,7014.25,1,1.0,173.8885247230384
2014-05-13,1,0,Train,7080.0,7108.75,114.50931855711384,135.24633300184541,7108.75,0,0.0,176.2312506860889
2014-05-14,1,0,Train,7112.0,7108.75,136.1625808375136,135.24633300184541,7108.75,0,0.0,176.2312506860889
2014-05-15,0,0,Train,7111.2998046875,7123.14990234375,154.47292384158538,135.52029593310291,7123.14990234375,0,0.0,176.2312506860889
2014-05-16,0,0,Train,7270.2001953125,7203.0,175.97695610110705,137.03947059782556,7203.0,0,0.0,176.2312506860889
2014-05-19,0,0,Train,7276.85009765625,7263.5498046875,195.73122270141565,138.19145076986175,7263.5498046875,0,0.0,176.2312506860889
2014-05-20,0,0,Train,7309.9501953125,7275.5,214.7504623577736,138.418807210118,7275.5,0,0.0,176.2312506860889
2014-05-21,0,0,Train,7274.85009765625,7252.89990234375,228.6021981171395,137.98883283579178,7252.89990234375,0,0.0,176.2312506860889
2014-05-22,0,0,Train,7289.9501953125,7276.39990234375,241.22844450796643,138.43592815150038,7276.39990234375,0,0.0,176.2312506860889
2014-05-23,0,0,Train,7306.5,7367.10009765625,258.48170711927344,140.1615295326949,7367.10009765625,0,0.0,176.2312506860889
2014-05-26,0,0,Train,7428.75,7359.0498046875,269.40006537469253,140.0083700315711,7359.0498046875,0,0.0,176.2312506860889
2014-05-27,0,0,Train,7363.10009765625,7318.0,273.2243364998652,139.2273838449101,7318.0,0,0.0,176.2312506860889
2014-05-28,0,0,Train,7324.9501953125,7329.64990234375,271.9139908730106,139.44902711156342,7329.64990234375,0,0.0,176.2312506860889
2014-05-29,0,0,Train,7316.60009765625,7235.64990234375,261.66827488007635,137.6606458487291,7235.64990234375,0,0.0,176.2312506860889
2014-05-30,1,0,Train,7254.85009765625,7229.9501953125,247.6413594457268,137.55220702683195,7229.9501953125,0,0.0,176.2312506860889
2014-06-02,1,0,Train,7264.0498046875,7362.5,234.87745675263224,140.0740111448689,7362.5,0,0.0,176.2312506860889
2014-06-03,1,0,Train,7375.35009765625,7415.85009765625,220.6860989297245,141.0890144961329,7415.85009765625,0,0.0,176.2312506860889
2014-06-04,1,0,Train,7417.5498046875,7402.25,189.49907428707576,140.8302681150568,7402.25,0,0.0,176.2312506860889
2014-06-05,1,0,Train,7399.75,7474.10009765625,148.51545065389877,142.1972401191127,7474.10009765625,0,0.0,176.2312506860889
2014-06-06,0,0,Train,7521.5,7583.39990234375,136.1996238557383,144.27670525458691,7583.39990234375,0,0.0,176.2312506860889
2014-06-09,0,0,Train,7621.64990234375,7654.60009765625,144.18784723591338,145.63131265040624,7654.60009765625,0,0.0,176.2312506860889
2014-06-10,0,0,Train,7679.0498046875,7656.39990234375,154.17288072787878,145.66555453317102,7656.39990234375,0,0.0,176.2312506860889
2014-06-11,0,0,Train,7672.39990234375,7626.85009765625,155.977014712596,145.10335967121847,7626.85009765625,0,0.0,176.2312506860889
2014-06-12,0,0,Train,7641.2998046875,7649.89990234375,156.48518200821334,145.54188987137928,7649.89990234375,0,0.0,176.2312506860889
2014-06-13,0,0,Train,7668.2001953125,7542.10009765625,152.70345072142126,143.49096273478008,7542.10009765625,0,0.0,176.2312506860889
2014-06-16,0,0,Train,7534.7998046875,7533.5498046875,150.64362543918517,143.32829056736458,7533.5498046875,0,0.0,176.2312506860889
2014-06-17,0,0,Train,7525.0498046875,7631.7001953125,152.79492674685133,145.19563439219033,7631.7001953125,0,0.0,176.2312506860889
2014-06-18,0,0,Train,7636.0498046875,7558.2001953125,147.7503089911508,143.79727244731455,7558.2001953125,0,0.0,176.2312506860889
2014-06-19,0,0,Train,7580.0498046875,7540.7001953125,142.14399933286734,143.46432912710603,7540.7001953125,0,0.0,176.2312506860889
2014-06-20,0,0,Train,7543.2998046875,7511.4501953125,140.1031923052543,142.90783814904322,7511.4501953125,0,0.0,176.2312506860889
2014-06-23,0,0,Train,7514.0,7493.35009765625,137.14835580140576,142.56347777134206,7493.35009765625,0,0.0,176.2312506860889
2014-06-24,0,0,Train,7515.2001953125,7580.2001953125,132.54699891846977,144.2158297641481,7580.2001953125,0,0.0,176.2312506860889
2014-06-25,1,1,Train,7588.5498046875,7569.25,126.99264298071718,144.00749865647524,7569.25,1,1.0,176.2312506860889
2014-06-26,1,1,Train,7554.10009765625,7493.2001953125,109.24986854931603,142.56062582939722,7493.2001953125,1,1.0,174.46061922398755
2014-06-27,1,1,Train,7514.2001953125,7508.7998046875,84.55157182279511,142.85741358592682,7508.7998046875,1,1.0,174.82381751580914
2014-06-30,1,1,Train,7534.0498046875,7611.35009765625,74.90645013636647,144.80846701617665,7611.35009765625,1,1.0,177.2114472529836
2014-07-01,1,1,Train,7629.0,7634.7001953125,69.80331755189442,145.25271038994038,7634.7001953125,1,1.0,177.75509648026545
2014-07-02,-1,0,Train,7683.0498046875,7725.14990234375,68.03399890590498,146.9735461482759,7725.14990234375,0,0.0,179.8609940255054
2014-07-03,1,0,Train,7734.35009765625,7714.7998046875,69.77780539566713,146.77663209809566,7714.7998046875,0,0.0,179.8609940255054
2014-07-04,-1,0,Train,7718.10009765625,7751.60009765625,78.41718300291735,147.4767699109906,7751.60009765625,0,0.0,179.8609940255054
2014-07-07,-1,0,Train,7780.39990234375,7787.14990234375,88.30637866129366,148.1531167684432,7787.14990234375,0,0.0,179.8609940255054
2014-07-08,-1,0,Train,7804.0498046875,7623.2001953125,87.61886067525595,145.0339190652319,7623.2001953125,0,0.0,179.8609940255054
2014-07-09,0,0,Train,7637.9501953125,7585.0,87.55319244911296,144.3071476446629,7585.0,0,0.0,179.8609940255054
2014-07-10,0,1,Train,7589.5,7567.75,87.12690659629521,143.9789606576002,7567.75,1,1.0,179.8609940255054
2014-07-11,1,1,Train,7584.10009765625,7459.60009765625,91.75100465890176,141.92137279665423,7459.60009765625,1,1.0,177.29061988004497
2014-07-14,1,1,Train,7469.0,7454.14990234375,96.119679795777,141.81768101818972,7454.14990234375,1,1.0,177.16108632693613
